song_id,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,contains_hyphen,contains_feat,is_derived,contains_parentheses,language,num_syllables,avg_chars_per_word,num_uppercase_words,num_lowercase_words,sentiment,num_syllables_missing
10654,73,210160,0.899,0.484,0.285,0.0,0,0.121,-10.863,1,0.0397,126.749,1,0.302,0,0,0,0,0,3.0,7.0,1,0,0.0,0
6974,53,210866,0.0484,0.741,0.967,1.51e-05,6,0.0384,-5.488,1,0.0504,102.0,1,0.979,0,0,0,0,0,7.0,4.0,3,2,0.0,0
1045,68,219466,0.114,0.483,0.818,0.0,11,0.3670000000000001,-7.666,1,0.0444,175.668,1,0.691,0,0,0,0,0,4.0,5.0,2,0,0.0,0
11317,79,211666,0.0472,0.628,0.698,0.00143,6,0.0907,-5.608,0,0.105,89.976,1,0.732,0,0,0,0,1,2.0,6.5,2,0,0.4,0
6944,10,226173,0.058,0.615,0.99,6.18e-05,8,0.129,-3.42,0,0.0686,132.829,1,0.7929999999999999,0,0,0,0,0,3.496065437978878,8.0,1,0,0.0,1
6716,53,149461,0.287,0.815,0.468,6.19e-05,10,0.071,-7.011,1,0.0596,109.101,1,0.563,0,0,0,0,0,3.0,3.6666666666666665,3,0,0.0,0
59,66,247266,3.32e-05,0.365,0.894,0.171,11,0.267,-4.682,0,0.0572,82.305,0,0.31,0,0,0,0,1,2.0,6.0,1,0,0.0,0
12508,37,193816,0.00188,0.602,0.433,0.336,4,0.18,-13.092,0,0.0308,140.034,1,0.288,0,0,1,1,0,2.0,3.5,4,-2,0.0,0
7044,31,255453,0.15,0.75,0.862,0.0225,9,0.0656,-5.352,0,0.0489,139.995,1,0.815,0,0,0,0,0,3.496065437978878,4.5,2,0,0.0,1
9245,51,217666,0.036,0.963,0.742,0.000989,4,0.303,-6.597,0,0.0904,114.689,1,0.6940000000000001,0,0,0,0,1,5.0,4.5,4,0,0.5,0
4935,48,202840,0.884,0.476,0.182,0.00086,4,0.112,-16.375,1,0.038,88.59200000000001,1,0.146,0,0,0,0,1,3.0,5.0,3,0,0.1,0
10574,41,293873,0.0986,0.657,0.573,0.0711,7,0.0766,-10.309,1,0.0722,81.529,1,0.449,0,0,0,0,0,5.0,5.0,3,0,0.0,0
